MLA_CATEGORIA,%comision,Detalle 
MLA392701,15%,Cuidado corporal
MLA8830,"15,50%",Suplemento alimenticio
MLA388015,15%,Cuidado del cabello
MLA414007,"12,50%",Shampoo y Acond
MLA29903,15%,"Maquillaje, Ojos"
MLA409319,"12,50%",Pasta de dientes
MLA392452,15%,Cuidado Facial
MLA392400,"12,50%",Solar
MLA409318,"12,50%",Enjuague Bucal
MLA392393,15%,Desmaquillante
MLA420674,14%,Soluciones Limpiadores
MLA411152,"12,50%",Jabon En barra
MLA4597,16%,Secador de pelo
MLA39965,"12,50%",Leche Maternizada
MLA9554,14%,Balanza de baño
MLA4601,14%,Artefacto Nebulizadores
MLA410989,14%,Tensiometro Digital
MLA10228,14%,Balanza de cocina
MLA4598,16%,Planchito de pelo
MLA4607,14%,Nebulizadores
MLA410901,"12,50%",Snacks
MLA392402,"12,50%",Post Solar
MLA3551,"15,50%",Sup Deportivo
MLA384750,"12,50%",Preservativos
MLA431656,"12,50%",Preservativos
MLA1271,15%,Perfume
MLA408041,14%,Aerocamaras
MLA5420,14%,Term
MLA418317,15%,Orinales
MLA401565,14%,Orinales
MLA414173,14%,Mantas
MLA401134,14%,Colchon antiescara
MLA29933,14%,Almohadilla
MLA30100,"14,50%",Mantas
MLA408023,14%,Oximetro
MLA417639,14%,Gel
MLA30797,14%,Silla
MLA392503,15%,Mascara
MLA408043,14%,Vap
MLA43660,14%,Ondulador
MLA401242,14%,Andador
MLA29893,"12,50%",Sup Cabello
MLA400500,13%,Lub
MLA431598,14%,Protector heridas
MLA409313,15%,Acc Dentista
MLA399205,"12,50%",Shampoo inf
MLA392401,"12,50%",Autobronceante
MLA409461,13%,Cremas
MLA29871,15%,Crema facial
MLA388017,"12,50%",Crema para peinar
MLA411996,"12,50%",Cereales
MLA389314,"12,50%",Galletas
MLA404842,"12,50%",Pan dulce
MLA392392,15%,Leche limp
MLA413240,"0,10%",Null
MLA413189,"12,50%",Granola
MLA1425,12%,Granola
MLA418152,12%,Granola
MLA409320,14%,Irrigador
MLA409408,"12,50%",Yerba
MLA409410,"12,50%",Yerba
MLA1259,15%,Crema Aromatica
MLA409406,12%,Botella termica
MLA417111,15%,Crema pies
MLA409384,"13,50%",Acc Pezon
MLA417268,"12,50%",Levadura
MLA43677,14%,Terapias
MLA411151,"12,50%",Jabon limp
MLA29875,15%,Maquillaje
MLA29901,15%,Maquillaje
MLA414002,14%,Evatest
MLA431657,13%,Evagina Lub
MLA453571,"12,50%",Evagina higiene
MLA429749,16%,Cargador
MLA3697,"15,50%",Auriculares
MLA5338,"15,50%",Auriculares
MLA417866,"0,10%",Null
MLA454328,15%,Perfume
MLA409317,"12,50%",Cepillo
MLA114011,12%,Snacks
MLA413157,14%,Bucaltac
MLA413159,14%,Estuche brackets
MLA409559,16%,Bellisima
MLA454744,16%,Difusor
MLA432665,15%,Kit crema
MLA361678,16%,Tintura
MLA413468,14%,Medidor glucemia
MLA412637,15%,Balsamo labios
MLA409090,"12,50%",Toallitas
MLA416840,"15,50%",Estuche bucaltac
MLA431206,"13,50%",Termometro
MLA43687,14%,Audifono
MLA29920,14%,Masajeador
MLA409322,14%,Espuma
MLA417724,"0,10%",Null
MLA127687,"12,50%",Aromatizador
MLA413214,"0,10%",Null
MLA409360,"12,50%",Hilo dental
MLA3698,"0,10%",Null
